espn_id,name,team,position,points
150,Wil Lutz,NO,K,136.7
152,Damien Williams,KC,RB,134.8
153,Justin Tucker,BAL,K,134.7
154,Danny Amendola,DET,WR,134.6
155,Duke Johnson,HOU,RB,134.6
156,Russell Gage,ATL,WR,134.2
157,Bills,BUF,D,134.2
158,Sammy Watkins,KC,WR,134.1
159,Latavius Murray,NO,RB,133.5
160,Steven Sims Jr.,WSH,WR,132.5
161,J.K. Dobbins,BAL,RB,132.3
162,Justin Jackson,LAC,RB,131.2
163,Marlon Mack,IND,RB,131
164,Parris Campbell,IND,WR,130.7
165,Matt Prater,DET,K,130.3
166,Austin Hooper,CLE,TE,130
167,Jack Doyle,IND,TE,129.8
168,Chris Herndon,NYJ,TE,129.8
169,Mike Gesicki,MIA,TE,128.9
170,Tevin Coleman,SFR,RB,128.2
171,Sony Michel,NE,RB,126.6
172,Randall Cobb,HOU,WR,126.5
173,Matt Breida,MIA,RB,126.4
174,Robbie Gould,SF,K,126.1
175,49ers,SF,D,124.7
176,Chris Boswell,PIT,K,124.7
177,Younghoe Koo,ATL,K,124.7
178,Austin Seibert,CLE,K,124.5
179,Matt Gay,TB,K,124.1
180,Corey Davis,TEN,WR,124.1
181,Chase McLaughlin,IND,K,124
182,Greg Zuerlein,DAL,K,124
183,Sam Sloman,LAR,K,123.9
184,Mason Crosby,GB,K,123.5
185,Zack Moss,BUF,RB,123.3
186,Jake Elliott,PHI,K,123.3
187,Denzel Mims,NYJ,WR,122.9
188,Allen Lazard,GB,WR,122.7
189,Colts,IND,D,122.6
190,Patriots,NE,D,122.2
191,Josh Lambo,JAX,K,122
192,Zane Gonzalez,ARI,K,121.2
193,Jason Myers,SEA,K,120.4
194,Brandon McManus,DEN,K,120.4
195,Justin Rohrwasser,NE,K,119.9
196,Dan Bailey,MIN,K,119.7
197,Ka'imi Fairbairn,HOU,K,119.5
198,Ravens,BAL,D,118.4
199,Eric Ebron,PIT,TE,117.7
200,Chris Conley,JAX,WR,117.4
201,Joey Slye,CAR,K,116.9
202,Brandon Aiyuk,SF,WR,116.3
203,Stephen Hauschka,BUF,K,116.3
204,Dallas Goedert,PHI,TE,116
205,Mohamed Sanu Sr.,NE,WR,115.9
206,Michael Pittman Jr.,IND,WR,115.8
207,Aldrick Rosas,NYG,K,115.7
208,Michael Badgley,LAC,K,115.3
209,Jonnu Smith,TEN,TE,114.6
210,Blake Jarwin,DAL,TE,113.8
211,Randy Bullock,CIN,K,113.6
212,Jamaal Williams,GB,RB,113.6
213,Greg Joseph,TEN,K,112.9
214,Broncos,DEN,D,112.6
215,Daniel Carlson,LV,K,112.3
216,Irv Smith Jr.,MIN,TE,111.4
217,Adam Humphries,TEN,WR,110.8
218,Dustin Hopkins,WSH,K,110.6
219,Saints,NO,D,110.5
220,Jimmy Graham,CHI,TE,110.5
221,Albert Wilson,MIA,WR,110.3
222,Antonio Gibson,WSH,RB,110.3
223,Bears,CHI,D,110.2
224,Jason Sanders,MIA,K,109.1
225,Josh Reynolds,LAR,WR,108.1
226,Vikings,MIN,D,107.4
227,Eddy Pineiro,CHI,K,107.1
228,Devin Funchess,GB,WR,106.8
229,James Washington,PIT,WR,106.2
230,Buccaneers,TB,D,105.9
231,Jaylen Samuels,PIT,RB,103.7
232,Jets,NYJ,D,103.2
233,Tony Pollard,DAL,RB,102.9
234,Jace Sternberger,GB,TE,102.1
235,Chargers,LAC,D,101.4
236,Brett Maher,NYJ,K,101.4
237,Cowboys,DAL,D,100.6
238,Ian Thomas,CAR,TE,100.2
239,Mitchell Trubisky,CHI,QB,98.9
240,Antonio Gandy-Golden,WSH,WR,98.4
241,Tyrell Williams,LV,WR,98.1
242,Dawson Knox,BUF,TE,98
243,Alexander Mattison,MIN,RB,98
244,Tyler Eifert,JAX,TE,97.1
245,Alshon Jeffery,PHI,WR,96.3
246,Greg Olsen,SEA,TE,95.7
247,Darrynton Evans,TEN,RB,95.5
248,C.J. Uzomah,CIN,TE,95.4
249,Bengals,CIN,D,94.7
250,Kyle Rudolph,MIN,TE,93.7
251,Chase Claypool,PIT,WR,93
252,Jerick McKinnon,SF,RB,92
253,Lions,DET,D,91
254,Tee Higgins,CIN,WR,90.4
255,Giovani Bernard,CIN,RB,87.9
256,Phillip Dorsett II,SEA,WR,87.9
257,Browns,CLE,D,87.8
258,Jalen Richard,LV,RB,87.7
259,Ted Ginn Jr.,CHI,WR,87.6
260,KJ Hamler,DEN,WR,87.1
261,Chiefs,KC,D,85.7
262,Rams,LAR,D,85.6
263,Titans,TEN,D,84.5
264,Eagles,PHI,D,84.5
265,Dolphins,MIA,D,84.4
266,Seahawks,SEA,D,84.1
267,Ito Smith,ATL,RB,82.9
268,Willie Snead IV,BAL,WR,82.3
269,Dan Arnold,ARI,TE,82
270,Nick Boyle,BAL,TE,81.4
271,Trent TaylorQ,SF,WR,81
272,Darren Fells,HOU,TE,80.6
273,Kenny Stills,HOU,WR,80.1
274,Tyler Johnson,TB,WR,80
275,Chase Edmonds,ARI,RB,78.6
276,Laviska Shenault Jr.,JAX,WR,78.4
277,Packers,GB,D,76.4
278,Texans,HOU,D,75
279,Gerald Everett,LAR,TE,74.8
280,Jordan Akins,HOU,TE,72.6
281,Cardinals,ARI,D,72.4
282,Taysom Hill,NO,TE,72.4
283,Jeremy Sprinkle,WSH,TE,71.6
284,Rashaad PennyQ,SEA,RB,70.4
285,Allen Hurns,MIA,WR,69.2
286,Raiders,LV,D,68.4
287,Anthony Firkser,TEN,TE,68.2
288,Adrian Peterson,WSH,RB,68.1
289,Jaguars,JAX,D,68.1
290,John Ross III,CIN,WR,67.7
291,Anthony McFarland Jr.,PIT,RB,67.2
292,Rex Burkhead,NE,RB,66.5
293,Joshua Kelley,LAC,RB,66.4
294,O.J. Howard,TB,TE,66.2
295,Miles Boykin,BAL,WR,66
296,Will DisslyQ,SEA,TE,64.6
297,Kelvin HarmonO,WSH,WR,63.8
298,Tre'Quan Smith,NO,WR,63.4
299,Chris Thompson,JAX,RB,62.9
300,Dion Lewis,NYG,RB,62.8
301,David Njoku,CLE,TE,62.1
302,Damien Harris,NE,RB,61.9
303,AJ Dillon,GB,RB,60.1
304,Tyrod Taylor,LAC,QB,59.7
305,Vance McDonald,PIT,TE,58.8
306,Frank Gore,NYJ,RB,57.6
307,David Moore,SEA,WR,57.5
308,Falcons,ATL,D,57.3
309,Washington,WSH,D,57.2
310,Kendrick Bourne,SF,WR,56.9
311,Jakeem Grant,MIA,WR,56.7
312,Dare Ogunbowale,TB,RB,56.7
313,Ryan Fitzpatrick,MIA,QB,56.2
314,Carlos Hyde,SEA,RB,55.1
315,Josh Oliver,JAX,TE,54.5
316,Logan Thomas,WSH,TE,54.2
317,Reggie Bonnafon,CAR,RB,53.2
318,Trey Burton,IND,TE,53
319,Scotty Miller,TB,WR,52
320,Jarrett Stidham,NE,QB,51.9
321,Lynn Bowden Jr.,LV,RB,51.7
322,Giants,NYG,D,51.7
323,Gus Edwards,BAL,RB,50.3
324,Devin Duvernay,BAL,WR,49.4
325,Dalton Schultz,DAL,TE,48.8
326,Van Jefferson,LAR,WR,48.6
327,Cole Kmet,CHI,TE,48.4
328,La'Mical Perine,NYJ,RB,47.2
329,Jake Kumerow,GB,WR,47
330,Zach Pascal,IND,WR,47
331,Jesse James,DET,TE,46.9
332,Panthers,CAR,D,46.8
333,Patrick Laird,MIA,RB,46
334,Benny Snell Jr.,PIT,RB,45.9
335,Matt LaCosse,NE,TE,45.2
336,Devin Asiasi,NE,TE,45
337,Ryquell Armstead,JAX,RB,45
338,Jakobi Meyers,NE,WR,44.3
339,Jaeden Graham,ATL,TE,44.1
340,Andy Isabella,ARI,WR,42.8
341,Marcus Mariota,LV,QB,41.7
342,Christian Blake,ATL,WR,41
343,Josh Hill,NO,TE,40.2
344,Demarcus Robinson,KC,WR,40
345,Jalen Hurd,SF,WR,40
346,Malcolm Brown,LAR,RB,39.9
347,Ryan Nall,CHI,RB,39.3
348,Qadree Ollison,ATL,RB,38.1
349,Kaden Smith,NYG,TE,37.6
350,P.J. Walker,CAR,QB,37.5
351,Bryce Love,WSH,RB,37.4
352,Marcedes Lewis,GB,TE,37.3
353,Kyle Juszczyk,SF,RB,37.1
354,C.J. Ham,MIN,RB,36.6
355,Hakeem Butler,ARI,WR,35.6
356,Bisi Johnson,MIN,WR,35
357,Marquez Valdes-Scantling,GB,WR,35
358,Kalif Raymond,TEN,WR,34.3
359,Ryan Griffin,NYJ,TE,33.6
360,Virgil Green,LAC,TE,32.5
361,Olamide Zaccheaus,ATL,WR,31.8
362,Marquise Goodwin,PHI,WR,31.8
363,Andre Patton,LAC,WR,31.3
364,Jason Witten,LV,TE,31.1
365,Deon Yelder,KC,TE,30.5
366,Maxx Williams,ARI,TE,29.7
367,Ricky Seals-Jones,KC,TE,29.4
368,Blake Bell,DAL,TE,29.3
369,Mason Rudolph,PIT,QB,28.2
370,Demetrius Harris,CHI,TE,28.1
371,Foster Moreau,LV,TE,28.1
372,Kyle Allen,WSH,QB,28.1
373,Cordarrelle Patterson,CHI,WR,27.7
374,Jalen Hurts,PHI,QB,27.6
375,Javon Wims,CHI,WR,27.4
376,KeeSean Johnson,ARI,WR,27.2
377,Cody Latimer,WSH,WR,27.2
378,Geronimo Allison,DET,WR,27.2
379,Vyncint Smith,NYJ,WR,27.1
380,Drew Sample,CIN,TE,27
381,Trey Quinn,WSH,WR,26.9
382,Quintez Cephus,DET,WR,26.9
383,Rashard Higgins,CLE,WR,26.8
384,Bryan Edwards,LV,WR,26.8
385,Seth Roberts,CAR,WR,26.5
386,Cameron Brate,TB,TE,25.9
387,DeAndre Washington,KC,RB,25.7
388,MyCole Pruitt,TEN,TE,25.3
389,Ty Montgomery,NOR,RB,25.1
390,Tyler Kroft,BUF,TE,25.1
391,Dalton Keene,NE,TE,25
392,Auden Tate,CIN,WR,25
393,Royce Freeman,DEN,RB,25
394,Devontae Booker,LV,RB,24.9
395,Brian Hill,ATL,RB,24.4
396,DaeSean Hamilton,DEN,WR,23.7
397,Mike Boone,MIN,RB,23.7
398,Joe Reed,LAC,WR,23.6
399,Trayveon Williams,CIN,RB,23.5
400,Keelan Cole,JAX,WR,22.7
